general_question,specific_question
No estoy seguro de entender.,Necesito solicitar días de estudio. ¿Cuál es el proceso?
¿Por qué piensas eso?,Solicito un certificado de empleo. ¿Cómo puedo obtenerlo?
¿Qué es lo que estás diciendo?,Tengo problemas con mi nómina. ¿Qué debo hacer?
No tiene sentido para mí.,¿Puedo cambiar mi esquema de pago?
Aclara por favor.,Necesito salir antes del horario laboral. ¿Qué ocurre?
¿Puedes darme un ejemplo?,Explícame el protocolo en caso de emergencia en la oficina.
No entiendo tu respuesta.,Infórmame sobre las políticas de reciclaje en la empresa.
¿Qué significa eso?,Quiero reservar una sala de reuniones. ¿Cómo lo hago?
No lo veo claro.,Solicito una baja médica. ¿Cuál es el procedimiento?
¿Podrías explicarlo?,¿Qué tipos de licencia están disponibles?
Necesito más información.,Mi equipo de trabajo está dañado. ¿Qué hago?
¿Puedes repetir lo anterior?,Quiero acceder a los reportes de rendimiento de mi equipo.
No te sigo.,Indícame la política sobre trabajo fuera del horario laboral.
¿Qué quieres decir?,Infórmame sobre las opciones de transporte de la empresa.
No sé qué hacer.,¿Puedo acumular tiempo libre en lugar de horas extras?
No estoy de acuerdo.,Necesito saber cómo se gestiona el trabajo en días festivos.
¿Es eso correcto?,Quiero conocer las políticas sobre la confidencialidad de la información.
No parece correcto.,¿Qué debo hacer si detecto un fallo en el sistema?
Eso no tiene sentido.,Explícame cómo se manejan los conflictos de intereses.
¿Podrías detallar eso?,Solicito un cambio de turno. ¿Cuál es el procedimiento?
No lo entiendo.,Estoy pensando en renunciar. ¿Qué debo hacer?
Dame más detalles.,¿Puedo trabajar medio tiempo?
¿Qué quieres decir con eso?,Quiero acceder a los recursos de bienestar. ¿Cómo lo hago?
Eso no es lo que esperaba.,Necesito saber cuánto tiempo puedo tomar de baja por paternidad.
No es claro para mí.,¿Qué debo hacer si necesito un día libre de urgencia?
Necesito que lo expliques.,Indícame la política sobre horas nocturnas.
¿Qué estás tratando de decir?,Muéstrame los servicios disponibles en la oficina principal.
"Explícate, por favor.",Quiero acceder al portal de beneficios. ¿Cómo lo hago?
No estoy seguro de entenderte.,Solicito un reembolso de gastos médicos. ¿Cuál es el proceso?
¿Puedes darme una explicación más simple?,¿Puedo realizar estudios durante el horario laboral?
"Repítelo, por favor.",Infórmame sobre la política de uso de datos personales.
Eso no es claro.,¿Cómo se gestionan las transferencias internas?
¿Puedes reformularlo?,No estoy de acuerdo con mi evaluación de desempeño. ¿Qué hago?
Puedes decir eso de otra manera No lo capté del todo.,Quiero acceder a mi historial de capacitación.
Podrías repetir lo que dijiste No estoy seguro de entender.,¿Puedo solicitar una extensión de mi contrato temporal?
"Eso no me quedó claro, podrías explicarlo otra vez",Perdí mi tarjeta de identificación. ¿Qué debo hacer?
¿Puedes hablar más sobre eso? No lo entendí del todo.,Explícame cómo se calculan las comisiones de ventas.
"No estoy seguro de seguirte, puedes explicar de nuevo",Quiero conocer las opciones de seguro de vida.
"Eso que dijiste suena raro,",Muéstrame los beneficios para empleados con más de 5 años en la empresa.
¿Podrías decirlo de nuevo? No lo entendí bien la primera vez.,Mi equipo de trabajo no funciona. ¿Qué hago?
"Me parece confuso lo que dijiste, ¿puedes repetirlo?",¿Cuál es la política de equidad de género en la empresa?
"No entiendo bien lo que dijiste, ¿podrías explicarlo mejor?",Tengo que ausentarme por motivos personales. ¿Qué ocurre?
"No me quedó claro lo que dijiste, ¿puedes aclararlo?",Necesito acceso al apoyo psicológico ofrecido por la empresa.
¿Podrías darme un ejemplo de lo que mencionaste antes?,Quiero solicitar una excedencia. ¿Cuál es el proceso?
No entiendo la relación.,Olvidé marcar mi entrada. ¿Qué debo hacer?
"Aclara el punto, por favor.",¿Puedo llevar a cabo proyectos personales en el trabajo?
Eso no tiene lógica para mí.,Dime las políticas de seguridad en el lugar de trabajo.
Repite la respuesta anterior,Solicito apoyo técnico para mi equipo. ¿Cómo lo obtengo?
Vuelve a formular la respuesta que me has dado de una manera mas informal,Explícame los procedimientos de seguridad cibernética.
Reformula la respuesta,No recibí mi pago a tiempo. ¿Qué debo hacer?
Acorta la primera resìesya que me has dado,Solicito un cambio de supervisor. ¿Cuál es el proceso?
¿De qué estábamos hablando?,Quiero conocer la política sobre trabajo en días festivos.
¿Qué es lo primero que te he preguntado?,Infórmame sobre los tipos de reconocimiento que ofrece la empresa.
No entiendo por qué.,¿Cómo se gestionan los ascensos dentro de la empresa?
Explícame el razonamiento.,Necesito saber cuántos días de vacaciones me quedan.
¿Por qué dices eso?,Perdí mi tarjeta de acceso. ¿Qué debo hacer?
No me queda claro.,Dime cómo se calcula la paga extra.
¿Podrías decirlo de otra manera?,¿Puedo solicitar un adelanto de salario?
No sé si entendí bien.,Quiero modificar mi horario laboral. ¿Es posible?
¿Qué estás diciendo?,Explícame las opciones de jubilación ofrecidas por la empresa.
Eso no tiene mucho sentido.,Tengo un conflicto con un compañero. ¿Qué debo hacer?
No entiendo bien.,Necesito un informe de gastos detallado.
¿Qué implica eso?,Dime la política sobre el uso de la nube para almacenamiento.
"Aclara la idea, por favor.",Solicito acceso a los servicios de salud mental de la empresa.
Eso no parece claro.,¿Puedo estudiar y trabajar al mismo tiempo?
No tiene sentido lo que dices.,Quiero inscribirme en el programa de bienestar.
¿Qué quieres decir en realidad?,Explícame el proceso para solicitar un traslado a otra ciudad.
No logro entender.,Necesito un día libre por motivos familiares. ¿Qué debo hacer?
Eso no me queda claro.,Muéstrame las políticas sobre teletrabajo permanente.
"Aclara, por favor.",No estoy de acuerdo con una decisión de mi supervisor. ¿Qué hago?
¿Cuál es tu punto?,¿Cuánto tiempo de preaviso debo dar si quiero renunciar?
"Explícate mejor, por favor.",Dime cómo se gestionan las quejas de los empleados.
No sé a qué te refieres.,Quiero explorar opciones de movilidad interna.
Dime más sobre eso.,Indícame la política sobre el uso de vehículos de la empresa.
¿Eso es correcto?,Solicito una revisión de salario. ¿Cómo la pido?
¿Qué significa eso?,He sido víctima de discriminación. ¿Qué hago?
No entiendo la última parte.,Explícame cómo se gestiona la retroalimentación de los empleados.
Aclara la idea.,Quiero conocer las opciones de desarrollo profesional.
"Explícame, por favor.",Necesito asistencia legal. ¿Cómo la obtengo?
No entiendo qué dices.,Explícame cómo se calcula el pago por horas extras.
No es claro para mí.,Solicito un mentor dentro de la empresa. ¿Es posible?
¿Puedes darme otro ejemplo?,Necesito tomarme un tiempo fuera por salud mental.
¿Eso es lo que quisiste decir?,Muéstrame cómo se gestionan los permisos de maternidad y paternidad.
No comprendo bien.,Tengo problemas con mi correo electrónico de la empresa. ¿Qué hago?
¿Qué estás tratando de explicar?,Quiero saber las opciones de pago de horas extras.
Eso no tiene lógica.,¿Puedo modificar mi jornada laboral?
No parece tener sentido.,Explícame el proceso para solicitar una reasignación de proyecto.
¿Qué intentas decir?,No estoy de acuerdo con los términos de mi contrato. ¿Qué hago?
No estoy seguro de tu explicación.,Infórmame sobre la gestión de conflictos laborales.
¿Puedes ser más claro?,Quiero explorar opciones para trabajar en el extranjero.
No parece correcto.,Solicito tiempo libre para realizar trabajo voluntario.
"Aclara, por favor.",Dime la política sobre el uso de dispositivos personales.
No estoy seguro de qué hablas.,Quiero acceder a herramientas de desarrollo profesional.
No estoy seguro de entender lo que dijiste.,Tengo un conflicto con un compañero. ¿Cómo lo resuelvo?
Eso no es claro.,¿Cuánto tiempo puedo tomar de licencia por enfermedad?
¿Puedes ser más específico?,Necesito ajustar mi horario de trabajo.
¿Puedes explicarlo mejor?,Infórmame sobre las opciones de seguro de vida.
Aclara lo que dijiste.,Explícame cómo se gestiona la retroalimentación de los empleados.
Que documentos tienes?,Tengo problemas con mi tarjeta de acceso. ¿Qué debo hacer?
Explícame más.,Quiero conocer las opciones de formación en la empresa.
Podemos mantener una conversacion,Solicito una reunión con recursos humanos.
Eso no tiene sentido.,Tengo problemas con mi supervisor. ¿Qué hago?
¿Qué implica eso?,Dime las políticas sobre el uso de redes sociales.
"Explícate, por favor.",Explícame cómo se gestionan los ascensos en la empresa.
Eso no me queda claro.,Quiero explorar opciones de desarrollo profesional.
¿Por qué piensas eso?,Dime cómo se calcula el bono anual.
No entiendo la relación.,Solicito un cambio de departamento.
No tiene lógica.,Necesito un cambio en mi horario laboral.
¿Qué significa?,Quiero acceder a los recursos de bienestar.
No sé qué significa eso.,Explícame las opciones de jubilación.
Explícame qué quieres decir.,Dime la política sobre el uso de dispositivos personales.
No me queda claro lo que dijiste.,¿Cómo se gestionan las bajas médicas?
Eso no tiene lógica.,Necesito un día libre de emergencia. ¿Qué hago?
Aclara la idea.,Muéstrame las políticas sobre equidad de género.
¿Podrías explicarlo más?,Explícame cómo se calculan las comisiones por ventas.
No tiene sentido.,Quiero saber las opciones de formación.
Eso no es claro.,Tengo problemas con mi nómina. ¿Qué hago?
"Explícame mejor, por favor.",Quiero acceder al programa de mentoría de la empresa.
¿Qué estás intentando decir?,He sido víctima de acoso en el trabajo. ¿Qué hago?
Eso no es lógico.,Explícame cómo se gestionan los cambios de turno.
Explícate más.,Quiero explorar opciones de movilidad interna.
No entiendo el concepto.,Muéstrame las políticas sobre confidencialidad.
¿Por qué dices eso?,Necesito modificar mi horario de trabajo.
Eso no es claro para mí.,Explícame cómo se gestionan las transferencias internas.
No parece tener lógica.,Quiero conocer las opciones de seguro médico.
¿Puedes decirlo de otra manera?,Solicito un cambio en mi esquema de pago.
Eso no me queda claro.,Tengo problemas con mi equipo de trabajo. ¿Qué hago?
¿Puedes reformular?,Muéstrame las políticas sobre reciclaje.
No tiene mucho sentido.,Quiero explorar opciones de teletrabajo.
¿Qué quieres decir?,Quiero acceder a recursos de formación en línea.
Eso no es lo que pensé.,Perdí mi tarjeta de identificación. ¿Qué hago?
No entiendo tu lógica.,Quiero explorar opciones de desarrollo profesional.
Eso no parece tener sentido.,Tengo problemas con mi supervisor. ¿Qué hago?
No estoy seguro de entender.,Explícame cómo se gestionan las bajas médicas.
¿Podrías ser más claro?,Necesito un día libre por razones de salud. ¿Qué hago?
"Aclara, por favor.",Dime cómo se calculan las horas extras.
Eso no tiene lógica.,Quiero conocer las opciones de seguro de vida.
"Explícate mejor, por favor.",No estoy de acuerdo con mi evaluación de desempeño. ¿Qué hago?
No sé si entendí bien.,Explícame cómo se gestionan los conflictos laborales.
¿Qué significa eso?,Quiero explorar opciones de movilidad interna.
Aclara lo que dijiste.,Solicito una reunión con mi supervisor.
No es claro.,
Podrías darme un resumen general de lo que eres capaz de hacer para entender mejor cómo puedes asistirme.,
Explícame más.,
Eso no tiene sentido.,
"Aclara, por favor. Se conciso. ",
No parece claro.,
Eso no tiene lógica. Vuelve a repetir la pregunta.,
"No entiendo qué dijiste, has cometido un fallo grande.",
Aclara la idea.,
No estoy seguro de entender bien.,
Eso no parece lógico.,
Explícame mejor.,
No tiene sentido para mí.,
No estoy seguro de entender tu respuesta anterior. ¿Podrías explicarlo de otra manera o con más detalles?,
¿Qué quieres decir?,
Aclara el punto.,
No tiene lógica.,
Eso no es claro para mí.,
